# TITAN 3C TRANSTAGE DEB (43453), e: 0.0991889, p: 29907.5, a: 37898.4
# FREGAT DEB (45635), e: 0.199661, p: 474.246, a: 3893.18
# DELTA 2 R/B (40060), e: 0.306813, p: 2379.3, a: 10131.6
# ATLAS 5 CENTAUR DEB (44008), e: 0.397373, p: 10702.9, a: 33229.3
# ATLAS 5 CENTAUR DEB (43955), e: 0.499773, p: 7237.65, a: 34444.5
# FALCON 9 R/B (44869), e: 0.60021, p: 280.274, a: 20273
# BREEZE-M DEB (TANK) (40260), e: 0.699996, p: 955.296, a: 35177.3
# BREEZE-M R/B (41582), e: 0.801434, p: 1368.97, a: 63905.1
# MMS 1 (40482), e: 0.862811, p: 6958.97, a: 174719
Index	 0.1	 0.2	 0.3	 0.4	 0.5	 0.6	 0.7	 0.8	 0.9
0	1.04462	0.779639	2.07708	1.33208	1.17793	0.270557	0.393218	0.382581	0.558753	0
1	1.04457	0.779061	2.13972	1.33011	1.17931	0.267603	0.394653	0.381534	0.561544	1
2	1.04418	0.778604	2.20997	1.32817	1.18069	0.263779	0.396089	0.380571	0.564341	2
3	1.04397	0.77818	2.28931	1.32626	1.18205	0.261122	0.397527	0.379437	0.567143	3
4	1.04376	0.777283	2.37959	1.32457	1.18341	0.257978	0.398966	0.378387	0.56995	4
5	1.04373	0.776676	2.48326	1.32283	1.18476	0.253994	0.400408	0.377337	0.572762	5
6	1.04336	0.776061	2.60349	1.32097	1.18609	0.251119	0.401851	0.376286	0.57558	6
7	1.04316	0.775438	2.74459	1.31914	1.18742	0.247772	0.403295	0.375235	0.578403	7
8	1.04314	0.774808	2.9125	1.31732	1.18875	0.244116	0.404742	0.374266	0.581231	8
9	1.04296	0.774169	3.11563	1.31553	1.19006	0.240625	0.40619	0.373132	0.584064	9
10	1.04258	0.773671	3.36634	1.31377	1.19136	0.236944	0.40764	0.372079	0.586902	10
11	1.04239	0.773213	3.68353	1.31202	1.19011	0.233076	0.409092	0.371027	0.589745	11
12	1.04239	0.772205	4.09593	1.30999	1.19148	0.229357	0.410546	0.369974	0.592742	12
13	1.04203	0.771533	4.65909	1.3083	1.19519	0.224882	0.412002	0.369001	0.595596	13
14	1.04185	0.770853	5.46985	1.30663	1.19645	0.221352	0.41346	0.368109	0.598455	14
15	1.04168	0.770164	6.73742	1.30499	1.1977	0.217387	0.41492	0.366814	0.601319	15
16	1.04169	0.769467	9.00081	1.30337	1.19893	0.212701	0.426041	0.365761	0.667773	16
17	1.04134	0.768925	14.1806	1.30178	1.20016	0.208892	0.417806	0.364707	0.606935	17
18	1.04117	0.768428	37.9916	1.30022	1.20137	0.204661	0.419269	0.363654	0.609805	18
19	1.04119	0.767318	43.9771	1.29868	1.20257	0.199746	0.420734	0.362678	0.612679	19
20	1.04105	0.766583	13.249	1.29718	1.20375	0.195636	0.422201	0.361548	0.615556	20
21	1.04069	0.765839	7.38909	1.29569	1.20493	0.191119	0.42367	0.360495	0.618312	21
22	1.04053	0.765084	4.96856	1.29424	1.20609	0.185955	0.425141	0.359442	0.621164	22
23	1.04056	0.76432	3.6353	1.29282	1.20724	0.18152	0.426615	0.358389	0.624052	23
24	1.04023	0.763727	2.79115	1.29143	1.20838	0.176694	0.42809	0.357412	0.626945	24
25	1.04008	0.763183	2.20872	1.29006	1.20951	0.171259	0.429568	0.356511	0.629842	25
26	1.03993	0.762393	1.78264	1.28873	1.21062	0.166473	0.431047	0.355234	0.632742	26
27	1.03997	0.761158	1.45742	1.28744	1.21172	0.161311	0.432529	0.354182	0.635646	27
28	1.03964	0.760341	1.20105	1.28632	1.21281	0.155884	0.434013	0.353132	0.638553	28
29	1.0395	0.759512	0.993758	1.28519	1.21389	0.150481	0.435499	0.352082	0.641465	29
30	1.03955	0.758673	0.82269	1.28399	1.21495	0.144885	0.436987	0.351104	0.644379	30
31	1.03923	0.757822	0.679117	1.28282	1.216	0.139098	0.438477	0.349983	0.647298	31
32	1.03909	0.757158	0.556906	1.28169	1.21395	0.133309	0.43997	0.348935	0.650219	32
33	1.03896	0.756549	0.451623	1.2806	1.21495	0.12702	0.441465	0.347888	0.653144	33
34	1.03901	0.755197	0.35998	1.27954	1.21608	0.121142	0.442962	0.346841	0.656246	34
35	1.0387	0.754298	0.27933	1.27853	1.22008	0.114929	0.444461	0.345795	0.659179	35
36	1.03858	0.753386	0.208114	1.27733	1.22106	0.10826	0.445963	0.344819	0.662115	36
37	1.03864	0.752461	0.144628	1.27639	1.22204	0.101904	0.447466	0.343705	0.665053	37
38	1.03853	0.751523	0.0876786	1.27551	1.223	0.0952268	0.448973	0.342662	0.667995	38
39	1.03821	0.750786	0.0363182	1.27466	1.22395	0.088138	0.450481	0.341619	0.67094	39
40	1.03809	0.750107	0.0102722	1.27386	1.22489	0.0812563	0.451991	0.340578	0.673888	40
