ID	Name	Eccentricity	Perigee	Res_100	Res_200	Res_300	Res_400	Res_500	Res_600	Res_700	Res_800	Res_900	Res_1000
11	VANGUARD 2	0.146831	555.108	5.29958	1.32522	0.589009	0.331322	0.212046	0.147255	0.108188	0.0828314	0.0654467	0.0530122
12	VANGUARD R/B	0.166579	556.8	5.68677	1.42186	0.631986	0.355492	0.227518	0.157999	0.11608	0.0888746	0.070222	0.0568799
20	VANGUARD 3	0.166666	510.368	5.63793	1.40989	0.626648	0.352494	0.225597	0.156665	0.115101	0.0881245	0.0696296	0.0563997
22	EXPLORER 7	0.0138763	485.124	3.38583	0.846517	0.376234	0.211633	0.135445	0.0940596	0.0691052	0.0529087	0.0418044	0.033862
29	TIROS 1	0.0024335	630.936	3.34855	0.837193	0.372091	0.209302	0.133954	0.0930237	0.0683438	0.052326	0.0413442	0.0334886
45	TRANSIT 2A	0.0248519	599.889	3.56432	0.891157	0.396075	0.222794	0.142589	0.0990198	0.0727497	0.0556989	0.0440094	0.0356477
46	SOLRAD 1 (GREB)	0.0217544	571.49	3.5022	0.875617	0.389167	0.218908	0.140102	0.097293	0.0714805	0.0547272	0.0432416	0.0350257
47	THOR ABLESTAR R/B	0.0219961	593.023	3.52892	0.882294	0.392136	0.220578	0.14117	0.098035	0.0720257	0.0551453	0.0435717	0.0352933
50	DELTA 1 R/B	0.0113709	1502.46	3.8686	0.967223	0.429883	0.241811	0.154759	0.107472	0.0789592	0.0604531	0.0477656	0.03869
51	ECHO 1 DEB (METAL OBJ)	0.0105989	1516.56	3.85559	0.96396	0.428432	0.240994	0.154237	0.107109	0.0786927	0.0602488	0.0476045	0.03856
53	ECHO 1 DEB (METAL OBJ)	0.0099633	1526.03	3.86316	0.965856	0.429274	0.241468	0.15454	0.107319	0.0788472	0.0603674	0.0476979	0.0386354
58	COURIER 1B	0.0164902	966.576	3.66479	0.916271	0.407238	0.229073	0.146607	0.10181	0.0748	0.0572688	0.0452494	0.0366523
59	THOR ABLESTAR R/B	0.0189109	924.483	3.67414	0.918599	0.408271	0.229655	0.14698	0.102069	0.0749897	0.0574143	0.0453648	0.0367456
82	SCOUT X-1 R/B	0.117586	634.219	4.8403	1.21028	0.537918	0.302581	0.193651	0.134481	0.0988027	0.0756465	0.0597698	0.0484136
85	SCOUT X-1 DEB	0.0390887	540.733	3.70087	0.92529	0.411245	0.231327	0.14805	0.102813	0.0755359	0.0578322	0.0456949	0.037013
107	EXPLORER 11	0.054605	470.658	3.85134	0.962926	0.427974	0.240737	0.154072	0.106995	0.0786084	0.0601852	0.0475537	0.038519
115	THOR ABLE DEB (YO)	0.0034232	594.705	3.34358	0.83595	0.371539	0.208991	0.133755	0.0928854	0.0682422	0.0522484	0.0412826	0.0334392
116	TRANSIT 4A	0.0075192	865.89	3.5113	0.877883	0.390175	0.219475	0.140464	0.0975449	0.0716658	0.0548692	0.0433535	0.0351167
117	SOLRAD 3/INJUN 1	0.0079915	869.12	3.51515	0.87885	0.390606	0.219717	0.140619	0.0976525	0.0717449	0.0549297	0.0434013	0.0351551
118	THOR ABLESTAR R/B	0.0082869	826.079	3.49973	0.87499	0.388889	0.218752	0.140002	0.0972236	0.0714294	0.0546884	0.0432108	0.0350008
119	THOR ABLESTAR DEB	0.0107602	734.866	3.47756	0.869454	0.386429	0.217368	0.139116	0.0966083	0.0709776	0.0543429	0.0429375	0.0347796
120	THOR ABLESTAR DEB	0.0123976	716.184	3.4789	0.869786	0.386577	0.217451	0.139169	0.096645	0.0710053	0.0543637	0.0429538	0.0347929
121	THOR ABLESTAR DEB	0.0100598	820.058	3.50063	0.875214	0.388989	0.218808	0.140037	0.0972484	0.0714479	0.0547025	0.0432217	0.0350104
122	THOR ABLESTAR DEB	0.0079147	605.378	3.37384	0.843517	0.374901	0.210883	0.134965	0.093726	0.0688599	0.0527209	0.0416561	0.0337423
123	THOR ABLESTAR DEB	0.0121416	679.561	3.45928	0.864884	0.384399	0.216225	0.138385	0.096101	0.0706049	0.0540569	0.0427119	0.0345971
124	THOR ABLESTAR DEB	0.0074931	734.386	3.44813	0.862089	0.383157	0.215526	0.137937	0.0957902	0.0703762	0.0538822	0.0425737	0.0344848
125	THOR ABLESTAR DEB	0.0073225	819.835	3.48779	0.872005	0.387562	0.218005	0.139524	0.0968913	0.0711861	0.0545016	0.0430632	0.0348817
126	THOR ABLESTAR DEB	0.0073301	716.428	3.42792	0.857038	0.38091	0.214263	0.137129	0.0952289	0.0699641	0.0535669	0.0423246	0.0342826
127	THOR ABLESTAR DEB	0.007079	709.844	3.43197	0.858051	0.38136	0.214516	0.137291	0.0953412	0.0700464	0.0536294	0.0423742	0.0343229
128	THOR ABLESTAR DEB	0.0095771	818.405	3.5082	0.877117	0.389835	0.219284	0.140342	0.0974597	0.0716033	0.0548216	0.0433158	0.0350864
130	THOR ABLESTAR DEB	0.0087561	832.885	3.50623	0.876612	0.389611	0.219158	0.140261	0.0974038	0.0715621	0.0547897	0.0432911	0.0350655
131	THOR ABLESTAR DEB	0.0086072	827.137	3.49718	0.874351	0.388605	0.218592	0.139899	0.0971527	0.0713777	0.0546485	0.0431794	0.0349757
132	THOR ABLESTAR DEB	0.0070551	860.451	3.5044	0.876162	0.38941	0.219045	0.140189	0.0973538	0.0715251	0.0547621	0.0432686	0.0350476
133	THOR ABLESTAR DEB	0.0058545	787.172	3.44749	0.86193	0.383085	0.215486	0.137912	0.095772	0.0703635	0.0538722	0.0425661	0.0344781
134	THOR ABLESTAR DEB	0.0076894	847.087	3.50409	0.876083	0.389375	0.219025	0.140176	0.0973448	0.0715189	0.0547565	0.0432645	0.0350449
136	THOR ABLESTAR DEB	0.0060193	734.425	3.42774	0.856993	0.380891	0.214252	0.137122	0.0952238	0.0699603	0.0535638	0.0423223	0.0342807
138	THOR ABLESTAR DEB	0.0030928	863.433	3.46286	0.865773	0.384792	0.216447	0.138527	0.0961993	0.0706769	0.0541123	0.0427553	0.0346324
141	THOR ABLESTAR DEB	0.0059731	894.08	3.50173	0.875494	0.389113	0.218877	0.140082	0.0972797	0.0714705	0.0547198	0.0432357	0.0350214
144	THOR ABLESTAR DEB	0.0037321	899.309	3.48829	0.872131	0.387619	0.218037	0.139544	0.0969054	0.071196	0.0545097	0.0430696	0.034886
145	THOR ABLESTAR DEB	0.0070816	835.871	3.47651	0.869184	0.386309	0.2173	0.139072	0.0965784	0.0709559	0.0543256	0.0429244	0.0347689
147	THOR ABLESTAR DEB	0.0060477	782.838	3.45062	0.862713	0.383433	0.215682	0.138037	0.0958593	0.0704271	0.0539213	0.0426043	0.0345095
148	THOR ABLESTAR DEB	0.0157722	757.888	3.53975	0.885003	0.393339	0.221255	0.141604	0.0983357	0.0722469	0.055314	0.0437053	0.0354017
150	THOR ABLESTAR DEB	0.007047	906.012	3.51175	0.877996	0.390225	0.219503	0.140483	0.0975578	0.0716748	0.0548768	0.0433594	0.0351214
152	THOR ABLESTAR DEB	0.0147325	753.553	3.53277	0.883254	0.392562	0.220817	0.141323	0.0981415	0.0721043	0.0552046	0.0436184	0.0353311
154	THOR ABLESTAR DEB	0.0090759	810.707	3.48743	0.871916	0.387523	0.217983	0.139509	0.0968818	0.0711785	0.0544967	0.0430588	0.0348779
155	THOR ABLESTAR DEB	0.0053518	720.362	3.40825	0.852116	0.378723	0.213033	0.136341	0.0946818	0.0695624	0.0532591	0.0420817	0.0340857
158	THOR ABLESTAR DEB	0.0614844	921.355	4.17634	1.04421	0.464101	0.261059	0.167077	0.116027	0.0852442	0.0652653	0.0515679	0.0417699
159	THOR ABLESTAR DEB	0.0367957	971.716	3.89833	0.974683	0.433199	0.243677	0.155954	0.108302	0.0795686	0.0609197	0.0481341	0.0389887
162	TIROS 3	0.0044707	714.282	3.41063	0.852715	0.37899	0.213182	0.136437	0.0947487	0.0696116	0.053296	0.0421111	0.0341101
167	DELTA 1 DEB (YO)	0.0092336	750.577	3.47517	0.86885	0.386161	0.217217	0.139019	0.0965413	0.0709284	0.0543048	0.042908	0.0347554
172	THOR ABLESTAR DEB	0.013882	939.928	3.61332	0.903402	0.401518	0.225855	0.144547	0.100381	0.0737488	0.0564643	0.044614	0.036137
177	THOR ABLESTAR DEB	0.01208	758.38	3.50518	0.876355	0.389497	0.219092	0.14022	0.0973752	0.0715407	0.0547739	0.0432782	0.0350557
178	THOR ABLESTAR DEB	0.0086624	855.454	3.50317	0.875851	0.389272	0.218967	0.140139	0.0973187	0.0715	0.0547422	0.0432528	0.0350351
202	TRANSIT 4B	0.0100856	951.543	3.58905	0.897319	0.398814	0.224334	0.143575	0.0997048	0.0732525	0.0560842	0.0443137	0.0358943
204	THOR ABLESTAR R/B	0.0098549	948.47	3.58527	0.896377	0.398395	0.224098	0.143423	0.0995999	0.0731757	0.0560254	0.0442672	0.0358562
205	TRAAC	0.0102466	954.393	3.58634	0.896645	0.398514	0.224166	0.143466	0.0996292	0.073197	0.0560418	0.04428	0.0358671
210	THOR ABLESTAR DEB	0.003974	911.584	3.49453	0.873688	0.38831	0.218426	0.139793	0.0970789	0.0713232	0.054607	0.0431467	0.034949
223	THOR ABLESTAR DEB	0.0074379	877.366	3.50241	0.875663	0.389188	0.21892	0.140109	0.0972981	0.0714848	0.0547306	0.0432442	0.0350279
224	THOR ABLESTAR DEB	0.0073263	811.097	3.47189	0.868029	0.385796	0.217011	0.138888	0.0964502	0.0708614	0.0542536	0.042867	0.0347221
225	THOR ABLESTAR DEB	0.0113145	703.711	3.46658	0.866701	0.385205	0.216679	0.138675	0.0963023	0.0707533	0.0541705	0.0428014	0.0346691
226	TIROS 4	0.0078633	684.762	3.42228	0.855629	0.380284	0.213911	0.136903	0.0950719	0.0698492	0.0534785	0.042255	0.0342262
227	DELTA 1 DEB (YO)	0.0131695	671.079	3.47981	0.870011	0.386677	0.217507	0.139205	0.0966701	0.071023	0.0543773	0.0429647	0.0348015
228	DELTA 1 DEB (YO)	0.0014519	552.866	3.30215	0.82559	0.366934	0.206402	0.132097	0.0917348	0.0673968	0.0516008	0.0407714	0.0330252
230	THOR ABLESTAR DEB	0.0087526	841.851	3.51127	0.877876	0.390173	0.219473	0.140463	0.0975444	0.0716651	0.0548688	0.0433536	0.0351168
232	THOR ABLESTAR DEB	0.0055882	853.864	3.48599	0.871555	0.387363	0.217892	0.139452	0.0968417	0.0711495	0.0544736	0.0430413	0.0348633
233	THOR ABLESTAR DEB	0.0029528	663.955	3.36458	0.841199	0.373871	0.210304	0.134595	0.0934688	0.0686714	0.0525765	0.041542	0.0336495
