ID	Name	Eccentricity	Perigee	MaxError	Pre_0	Pre_1	Pre_2	Pre_3
11	VANGUARD 2	0.146831	555.108	0.086283	0.0463867	0.0776367	0.0844727	0.0854492
12	VANGUARD R/B	0.166579	556.8	0.0925778	0.0458984	0.081543	0.0898438	0.0917969
20	VANGUARD 3	0.166666	510.368	0.0917969	0.0454102	0.0810547	0.0893555	0.0913086
22	EXPLORER 7	0.0138763	485.124	0.0551125	0.0522461	0.0556641	0.0556641	0.0556641
29	TIROS 1	0.0024335	630.936	0.0545065	0.0541992	0.0551758	0.0551758	0.0551758
45	TRANSIT 2A	0.0248519	599.889	0.0580197	0.0522461	0.0581055	0.0581055	0.0581055
46	SOLRAD 1 (GREB)	0.0217544	571.49	0.0570077	0.0522461	0.0576172	0.0576172	0.0576172
47	THOR ABLESTAR R/B	0.0219961	593.023	0.0574425	0.0522461	0.0571289	0.0571289	0.0571289
50	DELTA 1 R/B	0.0113709	1502.46	0.0629722	0.0595703	0.0625	0.0625	0.0625
51	ECHO 1 DEB (METAL OBJ)	0.0105989	1516.56	0.0627593	0.059082	0.0620117	0.0620117	0.0620117
53	ECHO 1 DEB (METAL OBJ)	0.0099633	1526.03	0.0628824	0.0605469	0.0634766	0.0634766	0.0634766
58	COURIER 1B	0.0164902	966.576	0.0596542	0.0561523	0.0600586	0.0600586	0.0600586
59	THOR ABLESTAR R/B	0.0189109	924.483	0.0598067	0.0551758	0.0595703	0.0600586	0.0600586
82	SCOUT X-1 R/B	0.117586	634.219	0.0787982	0.0483398	0.0742188	0.0786133	0.0791016
85	SCOUT X-1 DEB	0.0390887	540.733	0.0602416	0.0507813	0.0595703	0.0600586	0.0600586
107	EXPLORER 11	0.054605	470.658	0.0626928	0.0498047	0.0620117	0.0629883	0.0629883
115	THOR ABLE DEB (YO)	0.0034232	594.705	0.0544253	0.0537109	0.0546875	0.0546875	0.0546875
116	TRANSIT 4A	0.0075192	865.89	0.0571554	0.0551758	0.0571289	0.0571289	0.0571289
117	SOLRAD 3/INJUN 1	0.0079915	869.12	0.0572186	0.0551758	0.0576172	0.0576172	0.0576172
118	THOR ABLESTAR R/B	0.0082869	826.079	0.0569673	0.0551758	0.0576172	0.0576172	0.0576172
119	THOR ABLESTAR DEB	0.0107602	734.866	0.0566066	0.0537109	0.0561523	0.0561523	0.0561523
120	THOR ABLESTAR DEB	0.0123976	716.184	0.056628	0.0541992	0.0571289	0.0571289	0.0571289
121	THOR ABLESTAR DEB	0.0100598	820.058	0.0569819	0.0541992	0.0571289	0.0571289	0.0571289
122	THOR ABLESTAR DEB	0.0079147	605.378	0.0549175	0.0532227	0.0546875	0.0551758	0.0551758
123	THOR ABLESTAR DEB	0.0121416	679.561	0.0563095	0.0532227	0.0561523	0.0561523	0.0561523
124	THOR ABLESTAR DEB	0.0074931	734.386	0.056127	0.0541992	0.0556641	0.0556641	0.0556641
125	THOR ABLESTAR DEB	0.0073225	819.835	0.0567726	0.0541992	0.0561523	0.0561523	0.0561523
126	THOR ABLESTAR DEB	0.0073301	716.428	0.055798	0.0546875	0.0561523	0.0561523	0.0561523
127	THOR ABLESTAR DEB	0.007079	709.844	0.055864	0.0537109	0.0551758	0.0551758	0.0551758
128	THOR ABLESTAR DEB	0.0095771	818.405	0.0571053	0.0546875	0.0571289	0.0571289	0.0571289
130	THOR ABLESTAR DEB	0.0087561	832.885	0.0570728	0.0551758	0.0571289	0.0571289	0.0571289
131	THOR ABLESTAR DEB	0.0086072	827.137	0.0569255	0.0546875	0.0571289	0.0571289	0.0571289
132	THOR ABLESTAR DEB	0.0070551	860.451	0.0570433	0.0556641	0.0576172	0.0576172	0.0576172
133	THOR ABLESTAR DEB	0.0058545	787.172	0.0561168	0.0551758	0.0561523	0.0561523	0.0561523
134	THOR ABLESTAR DEB	0.0076894	847.087	0.0570381	0.0551758	0.0566406	0.0566406	0.0566406
136	THOR ABLESTAR DEB	0.0060193	734.425	0.0557956	0.0541992	0.0556641	0.0556641	0.0556641
138	THOR ABLESTAR DEB	0.0030928	863.433	0.056367	0.0551758	0.0561523	0.0561523	0.0561523
141	THOR ABLESTAR DEB	0.0059731	894.08	0.0569997	0.0561523	0.0571289	0.0571289	0.0571289
144	THOR ABLESTAR DEB	0.0037321	899.309	0.0567809	0.0556641	0.0561523	0.0561523	0.0561523
145	THOR ABLESTAR DEB	0.0070816	835.871	0.056589	0.0551758	0.0566406	0.0566406	0.0566406
147	THOR ABLESTAR DEB	0.0060477	782.838	0.0561678	0.0546875	0.0561523	0.0561523	0.0561523
148	THOR ABLESTAR DEB	0.0157722	757.888	0.0576187	0.0537109	0.0576172	0.0576172	0.0576172
150	THOR ABLESTAR DEB	0.007047	906.012	0.0571628	0.0556641	0.0571289	0.0571289	0.0571289
152	THOR ABLESTAR DEB	0.0147325	753.553	0.0575048	0.0537109	0.0571289	0.0571289	0.0571289
154	THOR ABLESTAR DEB	0.0090759	810.707	0.0567668	0.0551758	0.0576172	0.0576172	0.0576172
155	THOR ABLESTAR DEB	0.0053518	720.362	0.0554775	0.0541992	0.0551758	0.0551758	0.0551758
158	THOR ABLESTAR DEB	0.0614844	921.355	0.0679848	0.0532227	0.0668945	0.0678711	0.0678711
159	THOR ABLESTAR DEB	0.0367957	971.716	0.0634581	0.0541992	0.0629883	0.0634766	0.0634766
162	TIROS 3	0.0044707	714.282	0.0555167	0.0546875	0.0556641	0.0556641	0.0556641
167	DELTA 1 DEB (YO)	0.0092336	750.577	0.0565667	0.0537109	0.0561523	0.0561523	0.0561523
172	THOR ABLESTAR DEB	0.013882	939.928	0.0588168	0.0556641	0.059082	0.059082	0.059082
177	THOR ABLESTAR DEB	0.01208	758.38	0.057056	0.0541992	0.0571289	0.0571289	0.0571289
178	THOR ABLESTAR DEB	0.0086624	855.454	0.0570228	0.0551758	0.0571289	0.0571289	0.0571289
202	TRANSIT 4B	0.0100856	951.543	0.0584209	0.0561523	0.0581055	0.0581055	0.0581055
204	THOR ABLESTAR R/B	0.0098549	948.47	0.058359	0.0551758	0.0581055	0.0581055	0.0581055
205	TRAAC	0.0102466	954.393	0.0583758	0.0551758	0.0581055	0.0581055	0.0581055
210	THOR ABLESTAR DEB	0.003974	911.584	0.0568823	0.0556641	0.0566406	0.0566406	0.0566406
223	THOR ABLESTAR DEB	0.0074379	877.366	0.0570105	0.0551758	0.0571289	0.0571289	0.0571289
224	THOR ABLESTAR DEB	0.0073263	811.097	0.0565142	0.0541992	0.0561523	0.0561523	0.0561523
225	THOR ABLESTAR DEB	0.0113145	703.711	0.0564272	0.0541992	0.0566406	0.0566406	0.0566406
226	TIROS 4	0.0078633	684.762	0.0557062	0.0537109	0.0556641	0.0561523	0.0561523
227	DELTA 1 DEB (YO)	0.0131695	671.079	0.0566432	0.0532227	0.0561523	0.0561523	0.0561523
228	DELTA 1 DEB (YO)	0.0014519	552.866	0.0537514	0.0532227	0.0537109	0.0537109	0.0537109
230	THOR ABLESTAR DEB	0.0087526	841.851	0.0571551	0.0556641	0.0576172	0.0576172	0.0576172
232	THOR ABLESTAR DEB	0.0055882	853.864	0.0567433	0.0551758	0.0566406	0.0566406	0.0566406
233	THOR ABLESTAR DEB	0.0029528	663.955	0.054767	0.0541992	0.0551758	0.0551758	0.0551758
234	THOR ABLESTAR DEB	0.0065394	836.759	0.056722	0.0551758	0.0566406	0.0566406	0.0566406
235	THOR ABLESTAR DEB	0.0169728	739.231	0.0577106	0.0537109	0.0576172	0.0576172	0.0576172
243	THOR ABLESTAR DEB	0.0036062	875.026	0.0563924	0.0556641	0.0566406	0.0566406	0.0566406
244	THOR ABLESTAR DEB	0.0070646	859.146	0.0570208	0.0556641	0.0571289	0.0571289	0.0571289
245	THOR ABLESTAR DEB	0.0063669	798.741	0.0562477	0.0546875	0.0566406	0.0566406	0.0566406
246	THOR ABLESTAR DEB	0.0061545	896.761	0.0571712	0.0551758	0.0566406	0.0566406	0.0566406
252	THOR ABLESTAR DEB	0.0051867	937.382	0.0573217	0.0556641	0.0571289	0.0571289	0.0571289
