% ID	Primary	Secondary	Min Distance	Year	Month	Day	Hour	Min	Sec	Tag
1	26561	45672	9.97344	2020	11	11	9	34	19.395	BMT2
2	44410	44748	9.95743	2020	11	11	22	14	0.793	BMT2
3	44374	46534	9.90945	2020	11	12	23	59	27.445	BMT3
4	46699	46709	2.71358	2020	11	12	16	37	50.432	BMT3
5	6059	25980	9.9649	2020	11	13	0	54	58.466	BMT4
6	27611	45665	9.97765	2020	11	13	14	58	10.546	BMT4
7	43015	45534	9.93738	2020	11	13	17	56	58.269	BMT4
8	44769	46071	9.91027	2020	11	13	11	28	39.236	BMT4
9	45206	46083	9.98742	2020	11	13	23	27	50.008	BMT4
10	45693	46065	9.90285	2020	11	13	21	22	34.732	BMT4
11	16791	44951	9.94999	2020	11	14	14	40	54.753	BMT5
12	19274	45215	9.90141	2020	11	14	14	13	31.989	BMT5
13	26561	45546	9.93072	2020	11	14	22	1	23.994	BMT5
14	33064	43262	9.97547	2020	11	14	12	33	5.352	BMT5
15	39403	46740	9.84923	2020	11	14	18	36	24.922	BMT5
16	43596	44355	9.90711	2020	11	14	20	9	35.42	BMT5
17	45230	46455	9.91149	2020	11	14	0	36	10.515	BMT5
18	45746	46069	9.96648	2020	11	14	11	22	14.297	BMT5
19	45745	46280	9.70673	2020	11	14	19	48	20.496	BMT5
20	46130	46749	9.88014	2020	11	14	20	19	48.467	BMT5
