"Time (UTCG)","x (km)","y (km)","z (km)","vx (km/sec)","vy (km/sec)","vz (km/sec)"
21 Mar 2021 00:00:00.000,6496.992644,-3456.035725,-3131.528400,1.713038,6.008760,-2.691118
21 Mar 2021 00:01:00.000,6590.601565,-3090.815210,-3288.542914,1.406385,6.162148,-2.540327
21 Mar 2021 00:02:00.000,6665.652926,-2716.891485,-3436.273389,1.094562,6.298748,-2.381757
21 Mar 2021 00:03:00.000,6721.855997,-2335.285352,-3574.261649,0.778225,6.418113,-2.215701
21 Mar 2021 00:04:00.000,6758.959980,-1947.044257,-3702.067453,0.458048,6.519805,-2.042464
21 Mar 2021 00:05:00.000,6776.755171,-1553.241611,-3819.269406,0.134727,6.603397,-1.862369
21 Mar 2021 00:06:00.000,6775.074239,-1154.976061,-3925.465964,-0.191022,6.668475,-1.675755
21 Mar 2021 00:07:00.000,6753.793589,-753.370674,-4020.276518,-0.518458,6.714641,-1.482978
21 Mar 2021 00:08:00.000,6712.834832,-349.572028,-4103.342559,-0.846815,6.741511,-1.284418
21 Mar 2021 00:09:00.000,6652.166355,55.250822,-4174.328950,-1.175300,6.748720,-1.080474
21 Mar 2021 00:10:00.000,6571.804967,459.907519,-4232.925276,-1.503092,6.735923,-0.871570
21 Mar 2021 00:11:00.000,6471.817646,863.187749,-4278.847306,-1.829341,6.702800,-0.658154
21 Mar 2021 00:12:00.000,6352.323344,1263.862772,-4311.838543,-2.153166,6.649059,-0.440701
21 Mar 2021 00:13:00.000,6213.494866,1660.687180,-4331.671874,-2.473652,6.574435,-0.219713
21 Mar 2021 00:14:00.000,6055.560789,2052.400897,-4338.151318,-2.789856,6.478704,0.004274
21 Mar 2021 00:15:00.000,5878.807409,2437.731450,-4331.113859,-3.100798,6.361678,0.230698
21 Mar 2021 00:16:00.000,5683.580701,2815.396551,-4310.431370,-3.405468,6.223216,0.458960
21 Mar 2021 00:17:00.000,5470.288255,3184.106993,-4276.012614,-3.702823,6.063228,0.688429
